Race,Place,Team,Time,Lane
1,1,Wellness Warriors Thunder,02:42.425,3
1,2,Chinese American BioMedical Association,02:45.677,2
1,3,Wellington Management Four Seas - Team 2,03:11.190,1
2,1,Wellington Management Four Seas - Team 1,02:36.045,3
2,2,Dragon Divas,02:40.435,2
2,3,Bank of America Red Tide,02:48.472,1
3,1,Zhejiang University Alumni,02:38.005,3
3,2,Springfield Dragon Rays,02:42.311,1
3,3,Wellness Warriors Fire,02:44.452,2
4,1,Johnson & Johnson Ducklings - Team 2,02:39.400,1
4,2,JP Morgan & Chase,02:41.524,2
4,3,The Boat for Kids Who don't Paddle Good,02:51.445,3
5,1,Salesforce Asiapacforce DragonKoa,02:31.828,2
5,2,Johnson & Johnson Ducklings - Team 1,02:35.465,1
5,3,Boston Scientific,02:42.758,4
5,4,Eastern Bank - Fierce Dragons,02:44.132,3
6,1,HBP DragonMentor,02:27.299,3
6,2,University of Science & Technology Alumni,02:33.634,2
6,3,University AA - Nanjing Blue Whale,02:37.067,4
6,4,ONE - BCNC,02:38.739,1
7,1,Eastern Bank - Dragons for Good,02:30.727,2
7,2,Cambridge Aha Dragons,02:34.299,1
7,3,Bank of America Tempest,02:40.114,4
7,4,CSOFT International,02:42.405,3
8,1,Golden Dragons,02:22.626,4
8,2,North America Sports Union,02:23.282,3
8,3,Deloitte Dragons,02:40.305,1
8,4,Loomis Sayles,02:41.308,2
9,1,Paradise City Dragons,02:25.303,3
9,2,Perkins and Will,02:28.511,2
9,3,Transamerica,02:35.075,1
9,4,PricewaterhouseCoopers Dragon Boat Team,02:37.240,4
10,1,Citizens Bank Dragon,02:26.863,3
10,2,Tianda Nankai United University Alumni,02:28.079,4
10,3,Harvard University CSSA,02:36.171,1
10,4,NOVA,02:36.824,2
11,1,Arizona Dragon Riders,02:19.012,3
11,2,Dragonheart VT - Green Mountain Girls,02:22.542,2
11,3,Harvard Hawks,02:25.691,4
11,4,Wayfair - The Zillions,02:30.407,1
12,1,HPHC Dragonauts,02:12.219,3
12,2,Peking University Alumni - Team Weiming,02:16.647,1
12,3,South Cove Stat Dragons,02:21.082,4
12,4,AACA Blazin' Paddles,02:25.369,2
13,1,KPMG Blue Dragons,02:18.642,3
13,2,Peking University Alumni - Team Boya,02:19.522,4
13,3,State Street Golden Sun,02:35.107,1
13,4,Harvard Medical School CSSA,02:40.390,2
14,1,Fudan & Tongji University(s) Alumni,02:09.330,3
14,2,Tsinghua University Alumni - Boston Muhua,02:17.194,1
14,3,Boston University CPE Professionals,02:28.254,2
14,4,State Street Golden Dragon,00:00.000,4
15,1,Dragonheart VT - Fire,02:15.973,1
15,2,Blackheart Dragon Boat Racing,02:17.967,2
15,3,Boston Kwong Kow,02:23.274,4
15,4,Wuhan and Huazhong University(s) Alumni,02:26.169,3
16,1,Dragonheart VT - Fifty Force,02:10.110,2
16,2,Northeastern University CSSA,02:19.282,4
16,3,NEXT ONE,02:28.639,3
16,4,Northeastern University CSA,02:35.318,1
17,1,Boston One Dragon Boat Team,02:02.924,2
17,2,CYPN Storm Valor,02:05.856,3
17,3,Jiao Tong University Alumni - MicroPort,02:08.800,4
17,4,Tsinghua University Alumni - Boston Shuiqing,02:09.969,1
18,1,Wolfpack Racing Club,02:00.908,3
18,2,Living Root Blue,02:01.667,2
18,3,Living Root Purple,02:12.712,4
18,4,BTBC - Titans,02:13.212,1
19,1,Harvard Engine 9,02:06.878,2
19,2,Trapology Boston,02:08.547,1
19,3,Metro Athletic Dragons,02:08.681,3
19,4,CYPN Storm Mystic,02:09.045,4
20,1,CYPN Storm Instinct,02:02.438,2
20,2,Dragonheart VT - Dragonflyers,02:03.475,1
20,3,ONE Racing,02:04.074,3
21,1,Wellington Management Four Seas - Team 1,02:29.855,2
21,2,Zhejiang University Alumni,02:32.556,3
21,3,Bank of America Red Tide,02:39.294,4
21,4,Chinese American BioMedical Association,02:40.231,1
22,1,Eastern Bank - Fierce Dragons,02:33.545,2
22,2,Johnson & Johnson Ducklings - Team 2,02:33.801,3
22,3,The Boat for Kids Who don't Paddle Good,02:34.023,4
22,4,Wellness Warriors Fire,02:44.603,1
23,1,Dragon Divas,02:35.009,3
23,2,Boston Scientific,02:39.517,2
23,3,Wellness Warriors Thunder,02:40.872,1
23,4,Wellington Management Four Seas - Team 2,04:00.000,4
24,1,JP Morgan & Chase,02:31.862,3
24,2,CSOFT International,02:34.494,2
24,3,Springfield Dragon Rays,02:42.853,1
25,1,HBP DragonMentor,02:29.189,3
25,2,University AA - Nanjing Blue Whale,02:34.121,4
25,3,Johnson & Johnson Ducklings - Team 1,02:35.181,1
25,4,Loomis Sayles,02:37.802,2
26,1,Eastern Bank - Dragons for Good,02:28.034,3
26,2,Deloitte Dragons,02:32.868,2
26,3,ONE - BCNC,02:34.742,4
26,4,Cambridge Aha Dragons,02:47.398,1
27,1,Salesforce Asiapacforce DragonKoa,02:23.776,3
27,2,PricewaterhouseCoopers Dragon Boat Team,02:26.672,2
